State,Name,Address,City,PostalCode,Longitude,Latitude,Location
Massachusetts,Down Island Farmers' Market,144 Beach Road,Vineyard Haven,2568,-70.59368,41.45617,"144 Beach Road Vineyard Haven,Massachusetts 2568 (41.45617,-70.59368)"
Massachusetts,Falmouth Farmers' Market,"Peg Noonan Park,Main St",Falmouth,2540,-70.61508,41.55221,"Peg Noonan Park,Main StFalmouth,Massachusetts 2540 (41.55221,-70.61508)"
Massachusetts,Northfield Farmers Market,"Trinitarian Congregational Church,Main Street",Northfield,1360,-72.44522,42.70742,"Trinitarian Congregational Church,Main StreetNorthfield,Massachusetts 1360 (42.70742,-72.44522)"
Massachusetts,Orange Farmers Market,"Butterfield Park,East River Street",Orange,1364,-72.3068638889,42.5877666667,"Butterfield Park,East River StreetOrange,Massachusetts 1364 (42.5877666667,-72.3068638889)"
Massachusetts,Greenfield Farmers Market,"Court Square,road next to Common & Town Hall",Greenfield,1376,-72.6007277778,42.5876388889,"Court Square,road next to Common & Town HallGreenfield,Massachusetts 1376 (42.5876388889,-72.6007277778)"
Massachusetts,Ashfield Farmers Market,Ashfield Town Common,Ashfield,1330,-72.7900888889,42.526125,"Ashfield Town CommonAshfield,Massachusetts 1330 (42.526125,-72.7900888889)"
Massachusetts,Lowell Farmers Market,"City Hall Plaza,50 Arcand Dr.",Lowell,1852,-71.30367,42.64482,"City Hall Plaza,50 Arcand Dr. Lowell,Massachusetts 1852 (42.64482,-71.30367)"
Massachusetts,Quincy Farmers' Market,Chestnut Street/Hancock Parking Lot.,Quincy,2169,-71.0012666667,42.2494611111,"Chestnut Street/Hancock Parking Lot.Quincy,Massachusetts 2169 (42.2494611111,-71.0012666667)"
Massachusetts,Middleboro Farmers Market,South Main St.,Middleboro,2346,-70.91091,41.89078,"South Main St.Middleboro,Massachusetts 2346 (41.89078,-70.91091)"
Massachusetts,Ware Farmers' Market,West Street next to CVS,Ware,1082,-72.3,42.22191,"West Street next to CVSWare,Massachusetts 1082 (42.22191,-72.3)"
Massachusetts,Tuesday Market,"Behind Thornes Marketplace,off Old South St.",Northampton,1060,-72.6304,42.31797,"Behind Thornes Marketplace,off Old South St.Northampton,Massachusetts 1060 (42.31797,-72.6304)"
Massachusetts,Easthampton Farmers Market,Union Plaza,Easthampton,1027,-72.6521194444,42.2567277778,"Union PlazaEasthampton,Massachusetts 1027 (42.2567277778,-72.6521194444)"
Massachusetts,Belchertown Farmers Market,Belchertown Common,Belchertown,1007,-72.40151,42.27794,"Belchertown CommonBelchertown,Massachusetts 1007 (42.27794,-72.40151)"
Massachusetts,Springfield Cooperative Farmers Market,158 Avocado Street,Springfield,1101,-72.60384,42.10332,"158 Avocado StreetSpringfield,Massachusetts 1101 (42.10332,-72.60384)"
Massachusetts,Springfield Farmers Market at the X,IN Forest Park' Cyr Arena parking lot,Springfield,1108,-72.56247,42.08039,"IN Forest Park' Cyr Arena parking lotSpringfield,Massachusetts 1108 (42.08039,-72.56247)"
Massachusetts,Westfield Farmers Market,47 Franklin Street,Westfield,1085,-72.7504,42.1253,"47 Franklin StreetWestfield,Massachusetts 1085 (42.1253,-72.7504)"
Massachusetts,Springfield/Mason Square Farmers Market,"Mason Sq. Health Center,11 Wilbraham Rd.",Springfield,1038,-72.56378,42.11093,"Mason Sq. Health Center,11 Wilbraham Rd.Springfield,Massachusetts 1038 (42.11093,-72.56378)"
Massachusetts,Brimfield at Hitchcock Academy,"Hitchcock Free Academy Community Center parking lot, 2 Brookfield Rd.",Brimfield,1010,-72.20009,42.12267,"Hitchcock Free Academy Community Center parking lot, 2 Brookfield Rd.Brimfield,Massachusetts 1010 (42.12267,-72.20009)"
Massachusetts,Groton Farmers Market,"160 Chicopee Row,Williams Barn",Groton,1450,-71.56117,42.62386,"160 Chicopee Row,Williams BarnGroton,Massachusetts 1450 (42.62386,-71.56117)"
Massachusetts,Dracut Farmers Market,"Dracut Historical Society,1660 Lakeview Ave.",,1826,-71.33625,42.67606,"Dracut Historical Society,1660 Lakeview Ave.Massachusetts 1826 (42.67606,-71.33625)"
Massachusetts,Waltham Farmers Market,"Sovereign Bank Parking Lot,Main & Moody St.",Waltham,2454,-71.23743,42.37567,"Sovereign Bank Parking Lot,Main & Moody St.Waltham,Massachusetts 2454 (42.37567,-71.23743)"
Massachusetts,Somerville/Union Square Farmers Market,66 Union Square,Somerville,2143,-71.09508,42.37957,"66 Union SquareSomerville,Massachusetts 2143 (42.37957,-71.09508)"
Massachusetts,Hopkinton Farmers Market,"Weston Nurseries,93 East Main,Route 135",Hopkinton,1748,-71.49868,42.2364,"Weston Nurseries,93 East Main,Route 135Hopkinton,Massachusetts 1748 (42.2364,-71.49868)"
Massachusetts,Attleboro Farms Farmer's Market,491 Hickory Road,North Attleboro,2760,-71.3692805556,41.96765,"491 Hickory RoadNorth Attleboro,Massachusetts 2760 (41.96765,-71.3692805556)"
Massachusetts,Codman Square Farmers Market,Corner of Washington Street  and Talbot Avenue 02124,Dorchester,2124,-71.07122,42.29071,"Corner of Washington Street  and Talbot Avenue 02124Dorchester,Massachusetts 2124 (42.29071,-71.07122)"
Massachusetts,Kennedy Park Farmers Market,"Fall River,MA",Fall River,2721,-71.1660472222,41.6947,"Fall River,MAFall River,Massachusetts 2721 (41.6947,-71.1660472222)"
Massachusetts,Ruggles Park Farmers Market,Locust and Seabury Streets,Fall River,2721,-71.1460944444,41.7045916667,"Locust and Seabury StreetsFall River,Massachusetts 2721 (41.7045916667,-71.1460944444)"
Massachusetts,Holyoke Farmers' Market,536 Dwight Street,Holyoke,1040,-72.6077361111,42.2067361111,"536 Dwight StreetHolyoke,Massachusetts 1040 (42.2067361111,-72.6077361111)"
Massachusetts,North Adams Farmers Market,Saint Anthony Drive,North Adams,1247,-73.10577,42.70262,"Saint Anthony DriveNorth Adams,Massachusetts 1247 (42.70262,-73.10577)"
Massachusetts,Community Servings' Farmers Market,18 Marbury Terrace,Jamaica Plain,2130,-71.102725,42.3180527778,"18 Marbury TerraceJamaica Plain,Massachusetts 2130 (42.3180527778,-71.102725)"
Massachusetts,Daniels Farmstead,286 Mendon St,Blackstone,1504,-71.5541777778,42.0610083333,"286 Mendon StBlackstone,Massachusetts 1504 (42.0610083333,-71.5541777778)"
Massachusetts,Bedford Farmers' Market,"Depot Park,corner of South Road and Railroad Ave.",Bedford,1730,-71.2781888889,42.4862527778,"Depot Park,corner of South Road and Railroad Ave.Bedford,Massachusetts 1730 (42.4862527778,-71.2781888889)"
Massachusetts,Charles Square    (Friday Market),"1 Bennett Street,",Cambride,2138,-71.122325,42.3721972222,"1 Bennett Street,Cambride,Massachusetts 2138 (42.3721972222,-71.122325)"
Massachusetts,Boston/Prudential Center  Farmers Market,Plaza along Boylston St.,Boston,,-71.0830694444,42.3482916667,"Plaza along Boylston St.Boston,Massachusetts (42.3482916667,-71.0830694444)"
Massachusetts,Great Barrington Farmers Market I,Former Railroad Station on Castle St.(Behind Town Hall),Great Barrigton,1230,-73.3634277778,42.1939861111,"Former Railroad Station on Castle St.(Behind Town Hall)Great Barrigton,Massachusetts 1230 (42.1939861111,-73.3634277778)"
Massachusetts,Lenox Farmers Market,"Triangle Park,Main Street,Downtown",LENOX,,-73.2840444444,42.3598694444,"Triangle Park,Main Street,DowntownLENOX,Massachusetts (42.3598694444,-73.2840444444)"
Massachusetts,Great Barrington Farmers Market II,94 West Avenue,Great Barrington,1230,-73.36979,42.18942,"94 West AvenueGreat Barrington,Massachusetts 1230 (42.18942,-73.36979)"
Massachusetts,Sandwich Farmers Market,Route 6A Village Green,Sandwich,2563,-70.4929638889,41.7535444444,"Route 6A Village GreenSandwich,Massachusetts 2563 (41.7535444444,-70.4929638889)"
Massachusetts,Dorchester Fields Corner Farmers Market,"Park Street,Shopping Center Parking Lot",Dorchester,2121,-71.05888,42.29636,"Park Street,Shopping Center Parking LotDorchester,Massachusetts 2121 (42.29636,-71.05888)"
Massachusetts,Copley Square Farmers Market,"Copley Square,along St. James Ave.,Dartmouth and Boylston Streets",Boston,2116,-71.07657,42.3497,"Copley Square,along St. James Ave.,Dartmouth and Boylston StreetsBoston,Massachusetts 2116 (42.3497,-71.07657)"
Massachusetts,Barre Farmers Market,Barre Common,Barre,1005,-72.10533,42.42295,"Barre CommonBarre,Massachusetts 1005 (42.42295,-72.10533)"
Massachusetts,Mission Hill Farmers Market,"Brigham Circle,Intersection of Huntington Ave. and Tremont St.","Boston,Mission Hill",2115,-71.1052333333,42.3341972222,"Brigham Circle,Intersection of Huntington Ave. and Tremont St.Boston,Mission Hill,Massachusetts 2115 (42.3341972222,-71.1052333333)"
Massachusetts,Mattapan Farmers Market,"Church of the Holy Sprit Parking Lot,525 River St.",Boston,2118,-71.09871,42.25927,"Church of the Holy Sprit Parking Lot,525 River St.Boston,Massachusetts 2118 (42.25927,-71.09871)"
Massachusetts,Boston Medical Center Farmers Market,Menino Pavilion at 840 Harrison Ave.,Boston,2118,-71.07463,42.33488,"Menino Pavilion at 840 Harrison Ave.Boston,Massachusetts 2118 (42.33488,-71.07463)"
